NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-02;Home;30 a 39;No;10;174;165;1;0;10;6;0;3;7;4;7;141;141;111;125
CATALUNYA;GLOBAL;2021-10-02;Home;30 a 39;Si;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;40 a 49;No;11;223;157;0;0;23;10;0;9;2;12;2;193;135;46;60
CATALUNYA;GLOBAL;2021-10-02;Home;40 a 49;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CATALUNYA;GLOBAL;2021-10-02;Home;50 a 59;No;8;241;145;0;0;28;13;0;1;7;2;7;205;124;25;14
CATALUNYA;GLOBAL;2021-10-02;Home;50 a 59;Si;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;60 a 69;No;5;270;105;3;0;52;26;0;4;1;6;1;236;89;8;9
CATALUNYA;GLOBAL;2021-10-02;Home;60 a 69;Si;0;5;2;0;0;0;0;0;0;0;0;0;1;1;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;70 a 79;No;3;292;48;3;0;54;20;0;2;1;3;1;268;43;6;2
CATALUNYA;GLOBAL;2021-10-02;Home;70 a 79;Si;0;9;2;0;0;4;0;0;0;0;0;0;4;1;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;80 o més;No;2;216;33;3;0;37;1;0;1;1;1;1;198;29;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;80 o més;Si;0;27;4;0;0;2;0;0;0;0;0;0;18;3;0;0
CATALUNYA;GLOBAL;2021-10-01;Altres;N/A;--;5;488;1;3;0;55;14;0;3;2;2;0;482;1;116;87
CATALUNYA;GLOBAL;2021-10-01;Dona;0 a 9;No;22;388;621;0;0;2;0;0;19;3;20;3;361;589;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;10 a 19;No;18;463;911;0;0;0;0;0;10;8;10;9;406;751;613;1642
CATALUNYA;GLOBAL;2021-10-01;Dona;10 a 19;Si;0;3;1;0;0;0;0;0;0;0;0;0;2;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;20 a 29;No;18;909;619;1;0;5;0;0;7;11;7;11;693;468;545;607
CATALUNYA;GLOBAL;2021-10-01;Dona;20 a 29;Si;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;30 a 39;No;31;1094;682;2;0;6;3;0;23;8;28;8;870;564;451;682
CATALUNYA;GLOBAL;2021-10-01;Dona;30 a 39;Si;0;4;1;0;0;0;0;0;0;0;0;0;2;0;1;2
CATALUNYA;GLOBAL;2021-10-01;Dona;40 a 49;No;24;1291;660;3;0;12;5;0;11;13;15;16;1031;581;240;272
CATALUNYA;GLOBAL;2021-10-01;Dona;40 a 49;Si;0;6;1;0;0;1;0;0;0;0;0;0;3;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;50 a 59;No;10;1158;484;1;0;18;4;0;6;4;6;7;933;398;117;116
CATALUNYA;GLOBAL;2021-10-01;Dona;50 a 59;Si;0;8;2;0;0;0;0;0;0;0;0;0;2;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;60 a 69;No;18;746;276;0;0;29;10;0;9;9;11;9;643;244;60;94
CATALUNYA;GLOBAL;2021-10-01;Dona;60 a 69;Si;0;13;4;0;0;0;0;0;0;0;0;0;11;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;70 a 79;No;9;581;191;1;0;14;3;0;3;6;4;6;536;178;25;35
CATALUNYA;GLOBAL;2021-10-01;Dona;70 a 79;Si;1;56;5;0;0;1;0;0;1;0;1;0;39;5;0;0
CATALUNYA;GLOBAL;2021-10-01;Dona;80 o més;No;8;535;122;4;0;25;0;0;5;3;4;3;475;118;15;25
CATALUNYA;GLOBAL;2021-10-01;Dona;80 o més;Si;2;316;24;0;0;9;0;0;2;0;2;0;232;18;3;6
CATALUNYA;GLOBAL;2021-10-01;Home;0 a 9;No;33;450;755;0;0;0;0;0;29;4;33;5;423;690;0;0
CATALUNYA;GLOBAL;2021-10-01;Home;0 a 9;Si;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0
CATALUNYA;GLOBAL;2021-10-01;Home;10 a 19;No;9;460;936;0;0;2;0;0;5;4;4;4;403;789;596;1713
CATALUNYA;GLOBAL;2021-10-01;Home;10 a 19;Si;0;1;3;0;0;0;0;0;0;0;0;0;1;3;3;4
CATALUNYA;GLOBAL;2021-10-01;Home;20 a 29;No;12;424;486;0;0;3;1;0;6;6;6;6;341;392;691;660
CATALUNYA;GLOBAL;2021-10-01;Home;20 a 29;Si;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1
CATALUNYA;GLOBAL;2021-10-01;Home;30 a 39;No;20;478;454;1;0;11;6;0;6;14;7;16;399;376;460;620
CATALUNYA;GLOBAL;2021-10-01;Home;30 a 39;Si;0;8;1;0;0;0;0;0;0;0;0;0;6;0;1;0
CATALUNYA;GLOBAL;2021-10-01;Home;40 a 49;No;23;685;462;1;1;23;10;0;15;8;18;10;590;416;312;332
CATALUNYA;GLOBAL;2021-10-01;Home;40 a 49;Si;0;14;0;0;0;0;0;0;0;0;0;0;7;0;2;0
CATALUNYA;GLOBAL;2021-10-01;Home;50 a 59;No;13;649;288;2;0;29;14;0;5;8;6;9;568;261;134;109
CATALUNYA;GLOBAL;2021-10-01;Home;50 a 59;Si;0;26;3;0;0;2;1;0;0;0;0;0;10;3;1;0
CATALUNYA;GLOBAL;2021-10-01;Home;60 a 69;No;16;607;194;1;0;50;27;0;10;6;10;7;527;182;56;86
